Date,Open,High,Low,Close,Volume,Adj Close
2016-07-11,53143.00,54021.00,53143.00,53960.00,3206300,53960.00
2016-07-08,52020.00,53166.00,52020.00,53141.00,2995500,53141.00
2016-07-07,51902.00,52719.00,51888.00,52015.00,3712200,52015.00
2016-07-06,51842.00,51909.00,50825.00,51902.00,3277000,51902.00
2016-07-05,52565.00,52565.00,51510.00,51842.00,3121400,51842.00
2016-07-04,52241.00,52918.00,52241.00,52569.00,000,52569.00
2016-07-01,51540.00,52346.00,51411.00,52233.00,4116100,52233.00
2016-06-30,51001.00,51619.00,50585.00,51527.00,4377800,51527.00
2016-06-29,50009.00,51229.00,50009.00,51002.00,3970100,51002.00
2016-06-28,49252.00,50301.00,49252.00,50007.00,3406400,50007.00
2016-06-27,50106.00,50162.00,48954.00,49246.00,3228500,49246.00
2016-06-24,51561.00,51561.00,49544.00,50105.00,4139100,50105.00
2016-06-23,50161.00,51673.00,50161.00,51560.00,3166800,51560.00
2016-06-22,50835.00,51239.00,50060.00,50156.00,3632900,50156.00
2016-06-21,50326.00,50870.00,49678.00,50838.00,3349200,50838.00
2016-06-20,49539.00,50782.00,49539.00,50329.00,3487000,50329.00
2016-06-17,49409.00,50191.00,49405.00,49534.00,4248900,49534.00
2016-06-16,48901.00,49412.00,48067.00,49412.00,3887200,49412.00
2016-06-15,48649.00,49415.00,48324.00,48915.00,5009800,48915.00
2016-06-14,49662.00,49894.00,48216.00,48648.00,3885000,48648.00
2016-06-13,49419.00,49764.00,48804.00,49661.00,2630500,49661.00
