Date,Open,High,Low,Close,Volume,Adj Close
2016-07-11,1249.400024,1252.27002,1246.030029,1249.01001,57383400,1249.01001
2016-07-07,1219.859985,1228.459961,1219.52002,1227.219971,58348800,1227.219971
2016-07-06,1220.400024,1223.00,1212.079956,1216.22998,65126200,1216.22998
2016-07-05,1226.630005,1227.630005,1220.030029,1220.76001,59103000,1220.76001
2016-07-04,1226.369995,1229.079956,1225.219971,1228.430054,67142600,1228.430054
2016-06-30,1212.569946,1215.550049,1209.77002,1210.949951,84577900,1210.949951
2016-06-29,1208.540039,1211.880005,1205.22998,1211.089966,113829100,1211.089966
2016-06-28,1199.73999,1206.369995,1198.189941,1205.209961,137725900,1205.209961
2016-06-27,1204.699951,1212.420044,1195.030029,1196.380005,161833400,1196.380005
2016-06-23,1243.209961,1245.390015,1237.430054,1241.339966,175076800,1241.339966
2016-06-22,1235.640015,1240.72998,1234.650024,1240.550049,182630800,1240.550049
2016-06-21,1239.790039,1243.449951,1235.079956,1236.579956,107028900,1236.579956
2016-06-20,1233.359985,1242.109985,1233.209961,1237.550049,112637700,1237.550049
2016-06-16,1219.939941,1224.910034,1216.599976,1223.030029,133699700,1223.030029
2016-06-15,1236.51001,1244.380005,1233.22998,1236.50,87439500,1236.50
2016-06-14,1227.880005,1230.310059,1223.02002,1227.099976,288201100,1227.099976
2016-06-13,1231.969971,1231.969971,1225.630005,1230.439941,61872100,1230.439941
