Date,Open,High,Low,Close,Volume,Adj Close
2016-07-13,54256.00,54647.00,53733.00,54598.00,4037100,54598.00
2016-07-12,53961.00,54746.00,53961.00,54256.00,3878700,54256.00
2016-07-11,53143.00,54021.00,53143.00,53960.00,3206300,53960.00
2016-07-08,52020.00,53166.00,52020.00,53141.00,2995500,53141.00
2016-07-07,51902.00,52719.00,51888.00,52015.00,3712200,52015.00
2016-07-06,51842.00,51909.00,50825.00,51902.00,3277000,51902.00
2016-07-05,52565.00,52565.00,51510.00,51842.00,3121400,51842.00
2016-07-04,52241.00,52918.00,52241.00,52569.00,000,52569.00
2016-07-01,51540.00,52346.00,51411.00,52233.00,4116100,52233.00
2016-06-30,51001.00,51619.00,50585.00,51527.00,4377800,51527.00
2016-06-29,50009.00,51229.00,50009.00,51002.00,3970100,51002.00
2016-06-28,49252.00,50301.00,49252.00,50007.00,3406400,50007.00
2016-06-27,50106.00,50162.00,48954.00,49246.00,3228500,49246.00
2016-06-24,51561.00,51561.00,49544.00,50105.00,4139100,50105.00
2016-06-23,50161.00,51673.00,50161.00,51560.00,3166800,51560.00
2016-06-22,50835.00,51239.00,50060.00,50156.00,3632900,50156.00
2016-06-21,50326.00,50870.00,49678.00,50838.00,3349200,50838.00
2016-06-20,49539.00,50782.00,49539.00,50329.00,3487000,50329.00
2016-06-17,49409.00,50191.00,49405.00,49534.00,4248900,49534.00
2016-06-16,48901.00,49412.00,48067.00,49412.00,3887200,49412.00
2016-06-15,48649.00,49415.00,48324.00,48915.00,5009800,48915.00
2016-06-14,49662.00,49894.00,48216.00,48648.00,3885000,48648.00
2016-06-13,49419.00,49764.00,48804.00,49661.00,2630500,49661.00
2016-06-10,51117.00,51117.00,49421.00,49422.00,2977400,49422.00
2016-06-09,51633.00,51633.00,50832.00,51118.00,3213200,51118.00
2016-06-08,50490.00,51812.00,50490.00,51629.00,4206400,51629.00
2016-06-07,50432.00,50641.00,50005.00,50488.00,2958800,50488.00
2016-06-06,50627.00,50924.00,50097.00,50432.00,000,50432.00
2016-06-03,49888.00,50634.00,49888.00,50619.00,3329400,50619.00
2016-06-02,49008.00,49906.00,48781.00,49887.00,3525800,49887.00
2016-06-01,48468.00,49057.00,48200.00,49013.00,3290000,49013.00
2016-05-31,48963.00,49269.00,48292.00,48472.00,000,48472.00
2016-05-30,49051.00,49203.00,48799.00,48964.00,1169200,48964.00
2016-05-27,49481.00,49805.00,48869.00,49051.00,2711800,49051.00
2016-05-25,49347.00,50357.00,49347.00,49483.00,3472600,49483.00
2016-05-24,49330.00,50002.00,49153.00,49345.00,3138900,49345.00
2016-05-23,49709.00,49709.00,48695.00,49330.00,3412800,49330.00
2016-05-20,50133.00,50822.00,49723.00,49723.00,3254500,49723.00
2016-05-19,50556.00,50556.00,49588.00,50133.00,3905500,50133.00
2016-05-18,50836.00,51373.00,50301.00,50562.00,4072500,50562.00
2016-05-17,51795.00,51946.00,50689.00,50839.00,3871100,50839.00
2016-05-16,51803.00,52305.00,51585.00,51803.00,3529500,51803.00
2016-05-13,53236.00,53250.00,51366.00,51804.00,4314300,51804.00
2016-05-12,52765.00,53798.00,52424.00,53241.00,4630400,53241.00
2016-05-11,53072.00,53976.00,52736.00,52764.00,4350000,52764.00
2016-05-10,50994.00,53071.00,50994.00,53071.00,4079200,53071.00
2016-05-09,51717.00,51717.00,49908.00,50990.00,4938400,50990.00
2016-05-06,51671.00,52159.00,51204.00,51718.00,3296100,51718.00
2016-05-05,52569.00,53071.00,51311.00,51671.00,000,51671.00
2016-05-04,52253.00,52672.00,51931.00,52553.00,4263800,52553.00
2016-05-03,53557.00,53557.00,52260.00,52260.00,3892400,52260.00
2016-05-02,53910.00,54113.00,53265.00,53562.00,3286100,53562.00
